iteration,trial,inducer_huv_deg,response_huv_deg,delta_hue_deg
1,1,314.22538,143.6,-170.6
1,2,92.480991,277.1,-175.4
1,3,57.075775,260.8,-156.3
1,4,21.432639,236.6,-144.8
1,5,288.873889,111.8,-177.1
1,6,242.512421,60.0,177.5
1,7,120.415757,293.6,173.2
1,8,262.501748,76.9,174.4
1,9,178.147136,352.5,174.4
1,10,148.612071,315.9,167.3
1,11,354.407611,185.6,-168.8
1,12,275.519967,106.8,-168.7
1,1,330.0,145.2,175.2
1,2,30.0,237.7,-152.3
1,3,300.0,120.5,-179.5
1,4,60.0,254.3,-165.7
1,5,270.0,90.8,-179.2
1,6,180.0,359.0,179.0
1,7,210.0,18.1,168.1
1,8,240.0,58.6,178.6
1,9,0.0,168.8,168.8
1,10,150.0,296.7,146.7
1,11,120.0,289.0,169.0
1,12,90.0,273.6,-176.4
1,1,314.22538,133.9,179.7
1,2,21.432639,238.4,-143.0
1,3,242.512421,66.5,-176.0
1,4,92.480991,275.5,-177.0
1,5,288.873889,112.4,-176.5
1,6,275.519967,96.9,-178.6
1,7,262.501748,93.6,-168.9
1,8,57.075775,267.3,-149.8
1,9,148.612071,322.6,174.0
1,10,178.147136,351.9,173.8
1,11,120.415757,290.2,169.8
1,12,354.407611,173.7,179.3
1,1,300.0,131.3,-168.7
1,2,270.0,88.2,178.2
1,3,240.0,53.3,173.3
1,4,150.0,327.1,177.1
1,5,180.0,2.7,-177.3
1,6,60.0,264.8,-155.2
1,7,210.0,17.1,167.1
1,8,90.0,278.6,-171.4
1,9,120.0,291.8,171.8
1,10,0.0,211.7,-148.3
1,11,30.0,238.9,-151.1
1,12,330.0,150.0,180.0
1,1,90.0,274.7,-175.3
1,2,270.0,100.3,-169.7
1,3,30.0,249.4,-140.6
1,4,60.0,253.4,-166.6
1,5,180.0,0.2,-179.8
1,6,0.0,166.7,166.7
1,7,330.0,144.3,174.3
1,8,120.0,285.3,165.3
1,9,300.0,112.3,172.3
1,10,240.0,60.4,-179.6
1,11,210.0,28.0,178.0
1,12,150.0,309.3,159.3
1,1,210.0,19.2,169.2
1,2,30.0,246.2,-143.8
1,3,60.0,265.3,-154.7
1,4,150.0,306.8,156.8
1,5,90.0,279.1,-170.9
1,6,270.0,96.0,-174.0
1,7,330.0,148.6,178.6
1,8,120.0,289.1,169.1
1,9,180.0,0.0,180.0
1,10,300.0,124.6,-175.4
1,11,0.0,210.3,-149.7
1,12,240.0,62.5,-177.5
1,1,288.873889,108.7,179.8
1,2,92.480991,279.4,-173.1
1,3,314.22538,142.3,-171.9
1,4,354.407611,161.6,167.2
1,5,275.519967,98.7,-176.8
1,6,242.512421,55.4,172.9
1,7,120.415757,287.7,167.3
1,8,262.501748,86.2,-176.3
1,9,21.432639,220.2,-161.2
1,10,148.612071,315.5,166.9
1,11,57.075775,268.3,-148.8
1,12,178.147136,352.4,174.3
1,1,0.0,161.8,161.8
1,2,60.0,252.8,-167.2
1,3,120.0,291.0,171.0
1,4,240.0,63.2,-176.8
1,5,180.0,356.3,176.3
1,6,90.0,272.8,-177.2
1,7,150.0,319.3,169.3
1,8,330.0,143.9,173.9
1,9,270.0,89.2,179.2
1,10,210.0,30.9,-179.1
1,11,300.0,113.8,173.8
1,12,30.0,233.3,-156.7
1,1,262.501748,88.0,-174.5
1,2,314.22538,141.9,-172.3
1,3,242.512421,66.2,-176.3
1,4,178.147136,358.8,-179.3
1,5,354.407611,162.3,167.9
1,6,57.075775,267.8,-149.3
1,7,288.873889,121.3,-167.6
1,8,92.480991,276.9,-175.6
1,9,120.415757,289.9,169.5
1,10,148.612071,311.0,162.4
1,11,275.519967,94.8,179.3
1,12,21.432639,229.3,-152.1
1,1,0.0,171.2,171.2
1,2,30.0,234.7,-155.3
1,3,180.0,356.3,176.3
1,4,120.0,286.3,166.3
1,5,90.0,277.8,-172.2
1,6,60.0,268.4,-151.6
1,7,300.0,116.2,176.2
1,8,330.0,140.0,170.0
1,9,240.0,68.9,-171.1
1,10,270.0,88.0,178.0
1,11,210.0,34.8,-175.2
1,12,150.0,321.0,171.0
1,1,30.0,233.7,-156.3
1,2,180.0,1.1,-178.9
1,3,150.0,330.3,-179.7
1,4,210.0,26.2,176.2
1,5,0.0,180.3,-179.7
1,6,330.0,145.9,175.9
1,7,240.0,65.5,-174.5
1,8,270.0,92.9,-177.1
1,9,90.0,274.3,-175.7
1,10,120.0,289.7,169.7
1,11,60.0,258.6,-161.4
1,12,300.0,110.4,170.4
1,1,30.0,235.3,-154.7
1,2,60.0,265.3,-154.7
1,3,120.0,288.7,168.7
1,4,240.0,47.6,167.6
1,5,300.0,115.0,175.0
1,6,330.0,156.8,-173.2
1,7,180.0,343.2,163.2
1,8,150.0,311.1,161.1
1,9,0.0,174.0,174.0
1,10,90.0,274.4,-175.6
1,11,210.0,27.1,177.1
1,12,270.0,90.5,-179.5
1,1,120.0,290.7,170.7
1,2,60.0,270.4,-149.6
1,3,90.0,277.8,-172.2
1,4,210.0,13.1,163.1
